# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       42.008       92.340
       0.006        0.000       42.008       92.340
       0.013        0.000       42.008       92.340
       0.019        0.000       42.008       92.340
       0.026        0.000       42.008       92.340
       0.032        0.000       42.008       92.340
       0.039        0.000       42.008       92.340
       0.045        0.000       42.008       92.340
       0.052        0.000       42.008       92.340
       0.059        0.000       42.008       92.340
       0.066        0.000       42.008       92.340
       0.073        0.000       42.008       92.340
       0.080        0.000       42.008       92.340
       0.088        0.000       42.008       92.340
       0.095        0.000       42.008       92.340
       0.102        0.000       42.008       92.340
       0.109        0.000       42.008       92.340
       0.115        0.000       42.008       92.340
       0.122        0.000       42.008       92.340
       0.130        0.000       42.008       92.340
       0.137        0.000       42.008       92.340
       0.144        0.000       42.008       92.340
       0.152        0.000       42.008       92.340
       0.160        0.000       42.008       92.340
       0.167        0.000       42.008       92.340
       0.175        0.000       42.008       92.340
       0.183        0.000       42.008       92.340
       0.190        0.000       42.008       92.340
       0.197        0.000       42.008       92.340
       0.203        0.000       42.008       92.340
       0.210        0.000       42.008       92.340
       0.216        0.000       42.008       92.340
       0.222        0.000       42.008       92.340
       0.228        0.000       42.008       92.340
       0.234        0.000       42.008       92.340
       0.240        0.000       42.008       92.340
       0.246        0.000       42.008       92.340
       0.253        0.000       42.008       92.340
       0.259        0.000       42.008       92.340
       0.265        0.000       42.008       92.340
       0.272        0.000       42.141       92.340
       0.277      170.500       42.141       92.566
       0.283        0.000       42.141       92.566
       0.289        0.000       42.141       92.566
       0.294        0.000       42.141       92.566
       0.300        0.000       42.141       92.566
       0.305        0.000       42.141       92.566
       0.311        0.000       42.141       92.566
       0.317        0.000       42.141       92.566
       0.323        0.000       42.141       92.566
       0.329        0.000       42.141       92.566
       0.335        0.000       42.141       92.566
       0.341        0.000       42.141       92.566
       0.347        0.000       42.141       92.566
       0.352        0.000       42.141       92.566
       0.358      157.600       42.141       92.566
       0.364        0.000       42.141       92.566
       0.370        0.000       42.141       92.566
       0.376        0.000       42.141       92.566
       0.382        0.000       42.141       92.566
       0.387        0.000       42.141       92.566
       0.394        0.000       42.141       92.566
       0.400      171.000       42.141       92.566
       0.406        0.000       42.141       92.566
       0.411        0.000       42.141       92.566
       0.417        0.000       42.141       92.566
       0.423        0.000       42.141       92.566
       0.429        0.000       42.141       92.566
       0.436        0.000       42.141       92.566
       0.442        0.000       42.141       92.566
       0.448        0.000       42.141       92.566
       0.455        0.000       42.141       92.566
       0.461        0.000       42.141       92.566
       0.467        0.000       42.141       92.566
       0.472        0.000       42.141       92.566
       0.479        0.000       42.141       92.566
       0.486        0.000       42.141       92.566
       0.492        0.000       42.141       92.566
       0.498        0.000       42.141       92.566
       0.505        0.000       42.141       92.566
       0.511        0.000       42.141       92.566
       0.518        0.000       42.141       92.566
       0.525        0.000       42.141       92.566
       0.531        0.000       42.141       92.566
       0.537        0.000       42.141       92.566
       0.544        0.000       42.141       92.566
       0.550        0.000       42.141       92.566
       0.557        0.000       42.141       92.566
       0.564        0.000       42.141       92.566
       0.570        0.000       42.141       92.566
       0.576        0.000       42.141       92.566
       0.582        0.000       42.141       92.566
       0.588        0.000       42.141       92.566
       0.594        0.000       42.141       92.566
       0.601        0.000       42.141       92.566
       0.607        0.000       42.141       92.566
       0.613        0.000       42.141       92.566
       0.619        0.000       42.141       92.566
       0.625        0.000       42.141       92.566
       0.631        0.000       42.141       92.566
       0.637        0.000       42.141       92.566
       0.644        0.000       42.141       92.566
       0.651        0.000       42.141       92.566
       0.657        0.000       42.141       92.566
       0.664        0.000       42.141       92.566
       0.671        0.000       42.141       92.566
       0.677        0.000       42.141       92.566
       0.684        0.000       42.141       92.566
       0.691        0.000       42.141       92.566
       0.698        0.000       42.141       92.566
       0.705        0.000       42.141       92.566
       0.713        0.000       42.141       92.566
       0.720        0.000       42.141       92.566
       0.726        0.000       42.141       92.566
       0.732        0.000       42.141       92.566
       0.739        0.000       42.141       92.566
       0.746        0.000       42.141       92.566
       0.754        0.000       42.141       92.566
       0.760        0.000       42.141       92.566
       0.767        0.000       42.141       92.566
       0.774        0.000       42.141       92.566
       0.781        0.000       42.141       92.566
       0.788        0.000       42.141       92.566
       0.795        0.000       42.141       92.566
       0.803        0.000       42.141       92.566
       0.811        0.000       42.141       92.566
       0.818        0.000       42.141       92.566
       0.826        0.000       42.141       92.566
       0.833        0.000       42.141       92.566
       0.840        0.000       42.141       92.566
       0.848        0.000       42.141       92.566
       0.855        0.000       42.141       92.566
       0.862        0.000       42.141       92.566
       0.869        0.000       42.141       92.566
       0.877        0.000       42.141       92.566
       0.884        0.000       42.141       92.566
       0.892        0.000       42.141       92.566
       0.899        0.000       42.141       92.566
       0.906        0.000       42.141       92.566
       0.913        0.000       42.141       92.566
       0.921        0.000       42.141       92.566
       0.927        0.000       42.141       92.566
       0.934        0.000       42.141       92.566
       0.941        0.000       42.141       92.566
       0.949        0.000       42.141       92.566
       0.955      160.200       42.141       92.566
       0.962        0.000       42.141       92.566
       0.970        0.000       42.141       92.566
       0.976        0.000       42.141       92.566
       0.982        0.000       42.141       92.566
       0.988        0.000       42.141       92.566
       0.995        0.000       42.141       92.566
